codigo;Fecha;Nivel;Observaciones
PzC01;2009-03-01;0,5;Saltante
PzC01;2010-03-01;0,5;Saltante
PzC01;2010-08-01;0,5;
PzC01;2010-11-01;;
PzC01;2011-03-01;0,5;
PzC01;2011-08-01;0,5;
PzC01;2011-11-01;0,5;
PzC01;2008-08-01;0,5;
PzC01;2008-11-01;0,55;
PzC01;2012-08-01;0,5;
PzC01;2013-03-01;0,61;
PzC02;2009-03-01;-2,28;
PzC02;2010-03-01;-1,6;
PzC02;2010-08-01;-1,55;
PzC02;2011-03-01;-2,47;
PzC02;2011-08-01;-0,85;
PzC02;2011-11-01;-1;
PzC02;2008-08-01;-5,6;
PzC02;2008-11-01;-1,45;
PzC02;2012-08-01;-2,05;
PzC02;2013-03-01;-2,52;
PzC02;2013-08-01;-1,7;
PzC02;2013-11-01;-1,5;
PzC02;2014-03-01;-1,65;
PzC03;2009-03-01;0,62;Saltante
PzC03;2010-03-01;0,62;
PzC03;2010-08-01;0,62;
PzC03;2011-03-01;0,62;
PzC03;2011-08-01;0,62;
PzC03;2011-11-01;0,62;
PzC03;2008-08-01;0,58;
PzC03;2008-11-01;0,58;
PzC03;2012-08-01;0,55;
PzC03;2013-03-01;0,56;
PzC03;2014-03-01;1,27;
PzC04;2009-03-01;0,6;Saltante
PzC04;2010-03-01;0,63;
PzC04;2010-08-01;0,63;
PzC04;2011-03-01;0,63;
PzC04;2011-08-01;0,63;
PzC04;2011-11-01;0,63;
PzC04;2008-08-01;0,58;
PzC04;2008-11-01;0,6;
PzC04;2012-08-01;0,55;
PzC04;2013-03-01;0,53;
PzC04;2014-03-01;1,3;
PzC05;2009-03-01;0,65;Saltante
PzC05;2010-03-01;0,65;
PzC05;2010-08-01;0,65;
PzC05;2011-03-01;0,65;
PzC05;2011-08-01;0,65;
PzC05;2011-11-01;0,65;
PzC05;2008-08-01;0,66;
PzC05;2008-11-01;0,66;
PzC05;2012-08-01;0,58;
PzC05;2013-03-01;0,62;
PzC05;2014-03-01;1,22;
PzC06;2009-03-01;-2,42;
PzC06;2010-03-01;-2,85;
PzC06;2010-08-01;-2,48;
PzC06;2011-03-01;-2,9;
PzC06;2011-08-01;-2,33;
PzC06;2011-11-01;-2,27;
PzC06;2008-08-01;-5,2;
PzC06;2008-11-01;-2,4;
PzC06;2012-08-01;-2,1;
PzC06;2013-03-01;-2,09;Abandonado
PzC06;2013-11-01;-0,53;
PzC06;2014-03-01;-2,1;
PzC07;2009-03-01;0,35;Saltante, Sin tapa rosca
PzC07;2010-03-01;;Tornilos oxidados
PzC07;2010-08-01;;
PzC07;2011-03-01;0,35;
PzC07;2011-08-01;0,34;
PzC07;2011-11-01;0,35;
PzC07;2008-08-01;0,35;
PzC07;2008-11-01;0,37;
PzC07;2013-03-01;0,4;
PzC07;2013-11-01;0,4;
PzC08;2009-03-01;0,52;Saltante
PzC08;2010-03-01;0,52;
PzC08;2010-08-01;0,52;
PzC08;2011-03-01;0,52;
PzC08;2011-08-01;0,43;poco caudal
PzC08;2011-11-01;0,42;
PzC08;2008-08-01;0,53;
PzC08;2008-11-01;0,58;
PzC08;2012-08-01;0,53;
PzC08;2013-03-01;0,51;
PzC08;2013-11-01;0,48;
PzC08;2014-03-01;0,75;
PzC09;2009-03-01;0,7;Saltante
PzC09;2010-03-01;0,7;
PzC09;2010-08-01;0,7;
PzC09;2011-03-01;0,7;
PzC09;2011-08-01;0,7;
PzC09;2008-08-01;0,75;
PzC09;2008-11-01;0,7;
PzC09;2012-08-01;0,7;
PzC09;2013-03-01;0,63;
PzC09;2013-11-01;0,7;
PzC10;2009-03-01;0,52;Saltante
PzC10;2010-03-01;;
PzC10;2010-08-01;0,28;
PzC10;2011-03-01;0,52;
PzC10;2011-08-01;0,48;
PzC10;2011-11-01;0,12;
PzC10;2008-08-01;0,52;
PzC10;2008-11-01;0,51;
PzC10;2013-03-01;-0,61;
PzC10;2013-08-01;-1,34;
PzC10;2013-11-01;-0,81;
PzC10;2014-03-01;-1,2;
PzC11;2013-03-01;-3;
PzC11;2013-11-01;-1,65;
PzC11;2014-03-01;-3,82;
PzC12;2013-03-01;-3,37;
PzC12;2013-08-01;0,29;
PzC12;2013-11-01;0,32;
PzC12;2014-03-01;-3,9;
PzC13;2013-03-01;-3,1;
PzC13;2013-08-01;0,31;
PzC13;2013-11-01;-3,6;
PzC13;2014-03-01;-4,3;
PzC14;2013-03-01;-7,2;
PzC14;2013-11-01;-4,61;
PzC14;2014-03-01;-8,3;
PzC15;2013-03-01;-6,16;
PzC15;2013-08-01;-4,28;
PzC15;2013-11-01;-4,38;
PzC15;2014-03-01;-7,07;
