codigo;lat;lon;nombre ;tipo ;estado
PzC01;7,904861111;-76,71997222;Finca Iris Recreo;Piezometro;Piezometro 
PzC02;7,934638889;-76,70069444;Finca Esperanza;Piezometro;Piezometro 
PzC03;7,932388889;-76,71811111;Banacol Nva Col 1 mellizo;Piezometro;Piezometro 
PzC04;7,932388889;-76,71819444;Banacol Nva Col 2 mellizo;Piezometro;Piezometro 
PzC05;7,929361111;-76,72708333;Edgar Silva;Piezometro;Piezometro 
PzC06;7,957666667;-76,69625;Finca Caruba;Piezometro;Piezometro 
PzC07;7,956694444;-76,70811111;Finca Bananova;Piezometro;Piezometro 
PzC08;7,969833333;-76,71394444;Colegio La Teca;Piezometro;Piezometro 
PzC09;7,980111111;-76,72016667;Colegio Indep de Antioquia;Piezometro;Piezometro 
PzC10;8,003111111;-76,71116667;Finca Las Cuñadas;Piezometro;Piezometro 
PzC11;7,691083333;-76,67536111;Hacienda Bananal Pzc;Piezometro;Piezometro 
PzC12;7,698777778;-76,74486111;Colegio Nel Upegui 1;Piezometro;Piezometro 
PzC13;7,699111111;-76,74483333;Colegio Nel Upegui 2;Piezometro;Piezometro 
PzC14;7,691694444;-76,70780556;Hacienda Pasatiempo 1;Piezometro;Piezometro 
PzC15;7,691694444;-76,70783333;Hacienda Pasatiempo 2;Piezometro;Piezometro 
